"","ridageyr","dmdeduc2","INDFMPIR","riagendr_1","race_1","race_2","race_3","race_4"
"256",4.47213595499958,0,1.13578166916005,1,0,1,0,0
"257",2,1,1.11803398874989,0,0,1,0,0
"259",4.12310562561766,1.4142135623731,1.64924225024706,0,1,0,0,0
"261",0,0,0.824621125123532,0,0,0,1,0
"262",2.82842712474619,1.73205080756888,2.18174242292714,1,1,0,0,0
"263",0,2,2.23606797749979,1,0,1,0,0
"264",1.4142135623731,1.73205080756888,0.974679434480896,0,1,0,0,0
"265",2.64575131106459,1.73205080756888,2.21810730128188,0,0,1,0,0
"266",3.3166247903554,1.73205080756888,1.14891252930761,1,0,0,1,0
"267",2.44948974278318,1,1.14891252930761,1,0,1,0,0
"269",0,1.4142135623731,0.8,0,0,0,1,0
"270",3.46410161513775,2,2.23606797749979,1,1,0,0,0
"272",3.46410161513775,1.4142135623731,1.12249721603218,1,1,0,0,0
"274",3,1.73205080756888,1.51986841535707,0,1,0,0,0
"276",4.47213595499958,2,2.23606797749979,1,1,0,0,0
"279",1.4142135623731,1.73205080756888,1.3076696830622,0,1,0,0,0
"281",1.4142135623731,0,0.824621125123532,0,0,0,1,0
"282",3,1.73205080756888,1.38924439894498,1,1,0,0,0
"283",0,0,2.03224014329016,1,0,0,1,0
"284",2.82842712474619,1.4142135623731,0.469041575982343,0,0,1,0,0
"286",2.64575131106459,0,0.94339811320566,1,0,1,0,0
"287",2,1.4142135623731,2.151743479135,1,1,0,0,0
"288",4,1.4142135623731,1.46969384566991,0,1,0,0,0
"290",3.3166247903554,2,1.97484176581315,0,1,0,0,0
"291",4.47213595499958,1.73205080756888,1.54272486205415,0,1,0,0,0
"292",4.47213595499958,1.73205080756888,0.979795897113271,0,1,0,0,0
"295",3,1.73205080756888,1.29614813968157,0,0,0,0,1
"297",4.35889894354067,1.4142135623731,1.16619037896906,0,1,0,0,0
"298",4.47213595499958,0,1.20830459735946,1,1,0,0,0
"300",2.82842712474619,1.73205080756888,1.4247806848775,0,1,0,0,0
"302",2.64575131106459,1.4142135623731,1.42828568570857,0,1,0,0,0
"303",2.64575131106459,1,0.812403840463596,1,1,0,0,0
"304",1.73205080756888,0,1.99248588451713,1,0,0,1,0
"305",3.46410161513775,1.4142135623731,0.99498743710662,1,0,0,1,0
"307",4,1.4142135623731,0.959166304662544,0,0,1,0,0
"308",3,1,1.09087121146357,0,0,1,0,0
"309",4.47213595499958,0,0.877496438739212,0,0,1,0,0
"310",3.60555127546399,1.4142135623731,1.11803398874989,1,1,0,0,0
"311",2.82842712474619,1,1.44913767461894,1,0,0,1,0
"312",1,1.4142135623731,0.94339811320566,1,0,0,1,0
"313",2.64575131106459,1.4142135623731,1.51986841535707,0,0,1,0,0
"314",2.64575131106459,2,2.23606797749979,1,0,0,0,1
"316",4.47213595499958,1.73205080756888,0.424264068711929,0,1,0,0,0
"319",2.23606797749979,1.73205080756888,2.23606797749979,1,1,0,0,0
"320",4.47213595499958,1.73205080756888,1.62480768092719,1,1,0,0,0
"321",2.23606797749979,1.4142135623731,2.14242852856286,1,0,0,1,0
"322",4.47213595499958,1.73205080756888,2.06639783197718,1,1,0,0,0
"323",1.73205080756888,0,2.04939015319192,1,1,0,0,0
"324",4.47213595499958,0,0.8,0,0,0,1,0
"325",2.82842712474619,1.4142135623731,1.43527000944073,1,0,1,0,0
